,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_101915_01G000100,-8.940697e-06,0.088882565,0.17468423,0.31673157,0.31258565,0.17980331
TraesCAD_scaffold_058218_01G000100,-0.74452233,-1.3236718,-1.0765448,0.71260834,0.7280746,-0.066322446
TraesCAD_scaffold_166766_01G000100,-0.41122305,-4.494427,-4.791063,-1.3439515,-1.7045226,-1.2560828
TraesCAD_scaffold_097725_01G000100,-0.00042200089,-0.005603075,-0.0056031942,0.73295856,0.7035996,0.11433643
TraesCAD_scaffold_056958_01G000400,-0.0018573999,-0.2132231,-0.19617212,0.43684858,0.49049622,0.032737195
TraesCAD_scaffold_016992_01G000200,-8.046627e-05,-0.22028458,-0.1968174,0.32681853,0.32745826,-0.16754735
TraesCAD_scaffold_016511_01G000100,-0.0018568039,0.47671992,0.43619746,0.91304535,0.91106844,0.25588775
TraesCAD_scaffold_012644_01G000200,-0.0011174679,0.42819983,0.38295746,0.61147606,0.41422653,0.10646242
TraesCAD_scaffold_040251_01G000200,-0.0015053749,-0.10285652,-0.102856636,-0.02003026,0.08652079,0.01637423
TraesCAD_scaffold_078720_01G000100,-0.008639216,0.22449195,0.32024544,0.38484883,0.23525149,-0.03824711
TraesCAD_scaffold_066075_01G000200,-0.001024127,0.3388667,0.57017136,0.9292458,0.9319459,0.03553903
TraesCAD_scaffold_023873_01G000100,-0.00012028217,-1.2693963,-1.346185,-1.5521832,-1.5724299,-0.13547635
TraesCAD_scaffold_036541_01G000100,-0.2603116,-0.7648432,-0.7648432,-0.7805619,-0.93677104,-0.33020473
TraesCAD_scaffold_355968_01G000300,-0.00013422966,-0.7468673,-0.7468673,-0.6764494,-0.74469495,0.06285399
TraesCAD_scaffold_118495_01G000100,-4.172325e-06,-0.68668914,-0.68668914,-0.6172514,-0.46287847,-0.24298239
TraesCAD_scaffold_082992_01G000200,-0.0029841661,0.044917166,0.13161594,0.2761677,0.34492695,0.123116195
