,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesCAD_scaffold_034880_01G000200,-1.0,-1.3623412,-1.3623412,0.9303325,0.6415399,-0.29211438
TraesCAD_scaffold_070165_01G000100,-0.014977932,-0.038292885,-0.038292885,-0.29974663,-0.13563049,-0.3966688
TraesCAD_scaffold_040251_01G000200,-0.00054097176,-0.042449474,-0.042449474,-0.033789515,-0.1021955,-0.1536355
TraesCAD_scaffold_018667_01G000600,-0.5075325,-0.5405637,-0.54056394,0.41251844,0.5286758,-1.4285748
TraesCAD_scaffold_101915_01G000100,-0.40770888,-0.49026036,-0.49026036,-0.21625161,0.37962216,-0.38900852
TraesCAD_scaffold_095755_01G000300,-0.7377162,-0.85555875,-0.85555875,0.64339876,0.6036237,-0.30320203
TraesCAD_scaffold_118495_01G000100,-0.0011979342,-0.4421754,-0.4421754,-0.27211487,-0.49885976,-0.27546835
TraesCAD_scaffold_125714_01G000100,-0.0009139776,-0.704731,-0.704731,-0.34044576,-0.20686448,-0.21339154
TraesCAD_scaffold_008068_01G000100,-0.0049985647,-0.15926087,-0.15926075,-0.45594585,-0.046032548,0.040328622
TraesCAD_scaffold_010548_01G000200,-0.946105,-1.2377844,0.72513664,0.90660155,0.77379036,-2.6049547
TraesCAD_scaffold_009838_01G000100,-0.040094852,0.11338055,0.20974535,0.4262336,0.31260437,-0.10254395
TraesCAD_scaffold_066746_01G000100,-0.010512352,-0.3826319,-0.3826319,-0.38886392,-0.20496702,-0.06239295
TraesCAD_scaffold_058218_01G000100,-0.7670332,-1.0218136,-1.0218134,0.7993531,0.8191662,0.45192134
TraesCAD_scaffold_104171_01G000100,-1.0000002,-1.1136773,-1.1136768,0.7591015,0.655301,-0.45387948
TraesCAD_scaffold_062470_01G000300,-0.03052342,0.029812574,0.029812574,0.24852568,0.3405099,-0.11046398
TraesCAD_scaffold_102359_01G000100,-0.0271132,0.029232621,0.14850491,-1.1312523,-0.79511535,0.079429686
TraesCAD_scaffold_094995_01G000100,-0.81436133,-0.86721003,0.42144835,0.7861863,0.776304,-0.444031
TraesCAD_scaffold_097725_01G000100,-0.018423915,0.09809011,0.09809011,-0.18560922,0.08463067,-0.0040637255
TraesCAD_scaffold_061872_01G000400,-0.05184388,0.019970894,0.5754952,0.024823844,0.44540602,-0.072723985
TraesCAD_scaffold_043631_01G000600,-0.60227203,-0.47117567,-0.47117567,0.40950269,0.5496036,-1.8970976
TraesCAD_scaffold_010428_01G000200,-1.0,-1.4579401,-1.4579401,0.94844097,0.9777353,-0.5362114
TraesCAD_scaffold_015213_01G000200,-0.0058225393,-0.3724084,-0.3724084,-2.8787067,-0.85868394,-0.7296281
TraesCAD_scaffold_056530_01G000200,-0.48705626,-0.24470997,0.6891539,-0.27911484,0.44535792,-0.9302726
TraesCAD_scaffold_053630_01G000100,-0.011961579,0.015407383,0.19326782,0.11237478,0.32929802,0.04246348
TraesCAD_scaffold_080062_01G000100,-0.0018936396,-0.33020616,-0.33020616,-0.48088908,-0.48480856,-0.04044211
TraesCAD_scaffold_093581_01G000100,-0.052760005,0.021785975,0.021785975,-0.45706773,0.133398,0.06332773
TraesCAD_scaffold_065971_01G000300,-0.017728567,0.1200009,0.12000108,0.3786096,-0.22215176,-0.28018165
