,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR7B03G04224620,-0.24070907,-0.29191244,-0.29191256,0.13368535,0.124055386,-1.7545867
TraesNOR2D03G01131260,-0.7623912,-0.7863326,0.63414586,0.030828118,0.14396489,-0.23792994
TraesNOR3B03G01577720,-0.00038206577,0.36922556,0.36922556,-0.65807796,-0.6569953,-0.054004192
TraesNOR3A03G01370600,-0.27768087,-0.94192064,-0.94192064,-0.6462444,-0.70644546,-0.44065762
TraesNOR3A03G01371880,-5.877018e-05,0.26578254,0.49607635,0.3179993,0.02554226,-0.38975382
TraesNOR4B03G02379100,-0.5223805,-0.4170735,-0.4170735,-0.43781984,-0.5821134,-0.438807
TraesNOR2D03G01104990,-0.0042409897,-0.033351064,-0.033351183,-0.24038959,-0.7626234,-0.03082943
TraesNOR6B03G03540290,-0.07834506,0.023204803,0.023204803,-0.21806133,-0.109591246,-0.29959214
TraesNOR7A03G04038390,-0.00025475025,0.3295641,0.3295641,0.43235463,-0.33388174,-0.023489594
TraesNOR6B03G03469750,-0.06852901,0.07661587,0.18407291,-0.25418353,-0.30836618,-0.0871197
TraesNOR3D03G01956880,-0.55644476,-7.302723,-7.302723,-265.41238,-364.32272,-4.813537
TraesNOR2D03G01150760,-0.14422739,-0.22858572,-0.2285856,-0.14750934,-0.63125825,-1.0940635
TraesNOR5D03G03165720,-0.05755508,0.3767376,0.3767376,0.16231698,-0.14943373,-0.20621622
TraesNOR2D03G01255350,-0.57674396,-1.0147028,-0.14591348,0.17593306,0.3239938,-0.6552328
TraesNOR6B03G03645930,-0.009336829,-0.11905503,-0.11905503,-0.15193152,0.31106496,-0.07052207
TraesNOR1A03G00083110,-0.04478228,0.19559455,0.2575572,0.2939335,0.14829934,-0.114557505
TraesNOR1D03G00573580,-0.0912112,-0.10101318,-0.10101318,-0.17719305,-0.15810096,-0.41984236
TraesNOR3A03G01527440,-0.01260519,0.3561818,0.52901936,0.4710765,0.29527014,-0.20795345
TraesNORUn03G04759970,-0.65664506,-0.70589435,-0.7058946,-0.309734,-0.7326478,-0.7868227
TraesNOR4B03G02357470,-0.0018079281,-0.109921694,0.09402436,0.14865905,0.38672823,0.097890615
TraesNOR7D03G04461910,-0.021429658,0.052388847,0.052388847,-0.6813551,-1.412554,-0.03425038
TraesNOR6B03G03627380,-0.002840042,-0.13161445,-0.13161445,-1.9278374,-2.4797533,-0.016540766
TraesNOR5A03G02790270,-0.42813993,-0.18992293,-0.18992281,-1.5118761,-1.2511439,-2.2298152
TraesNOR1A03G00091890,-0.011952996,0.2721176,-0.02973342,0.116359174,0.00035262108,0.07409263
TraesNOR2D03G01298060,-0.15787017,-0.16951549,-0.16951549,-7.1678724,-1.8263414,-0.5675094
TraesNOR4B03G02244890,-0.05869448,-0.009850979,-0.009850979,-0.115036845,-0.057605505,-0.021707535
TraesNOR7A03G03932280,-0.29574776,-0.6288178,-0.6288178,-1.4338624,-1.4400694,-0.38549232
TraesNOR5D03G03213580,-0.40855587,-0.39220548,-0.39220548,-4.473483,-0.9628986,0.17099142
TraesNOR1B03G00399870,-0.017582178,0.18192464,0.30399883,0.17278403,-0.05910468,-0.215451
TraesNOR6A03G03378130,-0.7180735,-0.9431797,0.24720317,-1.3843668,-1.5810211,0.33040643
TraesNOR2A03G00596690,-0.05382514,0.07894856,0.07894844,0.20418984,0.12501562,-0.16049266
TraesNOR2B03G00844000,-0.81269133,-0.98815143,-0.013521552,-3.9399796,-3.928691,-0.6587106
TraesNOR5D03G03152750,-0.02101624,-0.027962565,-0.027962446,-0.07124102,-0.13187277,0.033777893
TraesNOR6B03G03670550,-0.5395061,-0.6940968,-0.6940968,-0.33295047,-0.82418036,-0.812539
TraesNOR3B03G01786870,-0.0008920431,0.2833351,0.39053732,0.31647986,0.12867385,-0.41390145
TraesNOR4D03G02562340,-0.000109791756,0.17453331,0.17453325,0.28654623,0.28238094,-0.073420644
TraesNORUn03G04746260,-0.008529544,-0.08522594,-0.08522594,-0.5585965,-0.15612388,-0.25823712
TraesNOR7D03G04328370,-0.28783154,-0.27106774,-0.27106762,-0.5696827,-0.05624163,0.11562061
TraesNOR3B03G01795510,-0.40892303,-0.62476456,-0.6247648,0.48286647,0.4752947,-1.2883778
TraesNOR6B03G03469790,-0.0047026873,0.38235545,0.3823555,0.099968314,-0.3389424,-0.30322313
TraesNOR7D03G04361770,-0.034836292,0.17258334,0.17258322,0.31128782,0.11004686,-0.20106423
TraesNOR4B03G02299460,-0.0002450943,0.0022587776,0.0022587776,-0.905553,-0.23372686,-0.10153031
TraesNOR3A03G01368630,-0.29732645,-0.31600046,-0.31600046,-0.3585137,-0.32612443,-0.58998096
TraesNOR7D03G04335400,-0.0009403229,0.05777043,0.05777043,0.47340518,0.44622874,0.06073624
TraesNOR1B03G00353620,-0.011439085,-0.24175203,-0.24175203,-3.4862757,-1.8865225,-0.07861471
TraesNOR3B03G01612180,-0.045217276,-0.3841113,-0.3841113,-2.426483,-5.324271,-0.59023297
TraesNOR1B03G00236930,-0.014375567,0.2941062,-0.024150133,0.57171786,0.4640817,-0.046224117
TraesNOR2B03G00886850,-0.0039310455,0.03723973,0.03723973,-0.22476947,-0.12132108,-0.24701142
TraesNOR5D03G03209140,-0.0014781952,0.13143295,-0.41122687,-0.14357007,0.17820811,0.030704856
TraesNOR5B03G02892880,-0.0027307272,0.12219596,0.12219596,-2.638511,-2.4457605,0.037293315
TraesNOR5B03G02894510,-0.5818052,-1.0079727,-1.0079725,-1.0077281,-2.5400932,-3.988274
TraesNOR5A03G02680190,-0.005792737,-0.1610961,-0.1610961,-2.7066925,-2.8901458,-0.070252895
TraesNOR7D03G04405260,-0.04186976,0.074724436,0.07472432,-0.47956502,-0.61106193,-0.16270971
TraesNOR2D03G01131120,-0.77781534,-0.7910347,0.4643126,-0.09517634,-0.024003506,-2.3021736
TraesNOR7D03G04390710,-0.013060689,0.10380006,0.16177428,-0.34602857,-0.12932551,0.018799424
TraesNOR7D03G04403680,-0.00016856194,0.12017596,0.12017596,-0.02462864,-0.1858871,-0.28870702
TraesNOR5D03G03206860,-0.01909554,0.15369225,0.15369225,-0.44604075,-0.9405421,-0.31769717
TraesNOR1B03G00250480,-0.050093055,0.13204205,0.13204205,-0.4888934,-0.1283474,-0.08374262
TraesNOR4B03G02261560,-3.7789345e-05,0.02849394,0.024697661,-0.46436083,-0.39648068,0.09716219
TraesNOR2B03G01000990,-0.00064504147,0.03023523,0.03023523,-2.0283406,-1.0883403,0.029577076
TraesNOR4D03G02546610,-0.02642572,-0.72424686,-0.72424674,-0.985322,-1.8457057,-0.14642107
TraesNOR1B03G00312280,-0.17444992,-0.4645927,-0.46459305,-2.548597,-0.9612006,-1.544282
TraesNOR6D03G03834120,-0.002997756,0.11135501,0.26064157,0.20317745,0.17717117,0.07645023
TraesNOR5B03G02920580,-0.118150115,-0.26169646,-0.26169622,-1.452786,-2.1510193,-0.20961738
TraesNOR1D03G00491280,-0.030093431,-0.12679958,-0.12679946,-1.2408645,-2.2627037,0.009530187
TraesNOR6B03G03471840,-0.013592124,0.23034537,0.3013503,0.051006854,-0.20654905,-0.027560592
TraesNOR6D03G03689260,-0.0028579235,0.31943655,0.31943655,-0.8018781,-0.8261516,-0.010459304
TraesNOR2A03G00643320,-0.0053350925,0.26486188,0.26486182,-1.0235622,-1.4252684,-0.019763589
TraesNOR4D03G02437960,-0.83334553,-1.2395267,-1.2395267,-2.9789538,-3.1772275,-3.5352736
TraesNOR1D03G00572410,-0.008534551,-0.32189,-0.32189,0.23215377,-0.025256872,-0.035961747
TraesNOR6D03G03700970,-0.31579208,-0.19114769,-0.19114769,-0.22785842,-0.12880576,-0.08721304
TraesNOR3D03G02023050,-0.002403736,-0.07792556,-0.07792556,0.116511464,0.26495075,0.13526744
TraesNOR5B03G02988160,-0.0044389963,0.30028486,0.30028486,-0.5301316,-0.108605504,-0.20621085
TraesNOR1B03G00234780,-0.0015689135,0.22266346,0.22266352,-0.3547145,0.29649484,0.09996331
TraesNOR6D03G03742190,-0.05590129,-0.5595759,-0.5595759,-2.9658282,-2.2855682,-0.22252774
TraesNOR4B03G02294590,-0.12751782,0.23214138,0.23214126,-0.66620696,-0.69962096,-0.13663685
TraesNOR4D03G02526720,-0.0004669428,-0.14737642,-0.14737642,-0.851208,-1.1662064,-0.15872908
TraesNOR4A03G02227030,-0.011655331,0.062050104,0.062050104,-0.51841784,-1.092797,-0.23202288
TraesNOR5A03G02666320,-0.0031698942,0.41172862,0.41172862,-1.1010664,-0.72988,-0.24456
TraesNOR3D03G01992250,-0.0027736425,-0.5102457,-0.51024556,-3.2629614,-2.1777852,-0.32473183
TraesNOR4A03G02194530,-0.022922039,-0.11690211,-0.11690223,-7.0883865,-6.177185,-0.46611702
TraesNOR5A03G02791060,-0.00022900105,-0.19238544,-0.03890419,-0.022252202,-0.008504391,-0.024432302
TraesNOR7B03G04192030,-0.017289996,0.07775122,-0.1868825,-0.0199759,-0.078768015,-0.151968
TraesNOR6D03G03766450,-0.6471125,-0.86864245,-0.8686428,-0.33065808,-0.7015674,-0.4130994
TraesNOR6D03G03772630,-0.0014346838,0.25683165,0.25683165,-1.7437193,-1.0454981,-0.23186469
TraesNOR3B03G01590150,-0.0036455393,-0.09785926,-0.09785926,-2.0841277,-1.12724,-0.29271924
TraesNOR5B03G03017820,5.9604645e-08,0.049937487,0.049937487,-4.306939,-1.1667974,-0.24132621
TraesNOR5D03G03263310,-0.00084614754,-0.23825574,-0.23825574,-0.92003965,-0.28416026,-0.099264145
TraesNOR3D03G01994610,-0.014932156,-0.2739755,-0.2739755,-1.8980799,-1.9406395,-0.050228238
TraesNOR7A03G03877440,-0.49037015,-0.86968875,-0.86968875,-16.166483,-7.677553,-2.0143867
TraesNOR5B03G02986110,-0.0009624958,0.08055633,0.08055633,-0.0010122061,0.07352114,0.021628082
TraesNOR4B03G02251620,-0.77318466,-0.9067999,-0.020156741,-0.44495487,-0.24133492,-1.3202016
TraesNOR4B03G02401460,-0.6307435,-0.8138331,0.23166537,-0.37509704,-0.18488789,-1.9405508
TraesNOR7A03G04061520,-0.042891383,0.041992664,0.041992664,0.108795345,0.07837981,-0.021800995
TraesNOR3B03G01567630,-0.013160944,0.031318188,0.031318188,-0.26112545,-0.40577257,-0.18486416
