,mean,design_only,cognate_ridge,pca_ridge,pls,multimodal_ae
TraesNOR1D03G00573580,-3.540516e-05,-0.06636822,-0.06636822,-0.044518232,0.054295897,-0.053762197
TraesNOR2A03G00643320,-0.0014311075,0.2633434,0.25508147,0.16599178,0.009142399,0.06733823
TraesNOR7D03G04405260,-0.0026527643,0.3422475,0.34224743,0.596352,0.48888862,-0.12680638
TraesNOR6D03G03770300,-0.024011731,-0.22899973,-0.22899961,-0.29620934,-0.29902136,-0.20950902
TraesNOR7D03G04335400,-0.27505922,0.07054204,0.13310122,0.1782611,0.369991,0.10462916
TraesNOR1A03G00083110,-2.2649765e-06,0.3281694,0.33274925,0.88776237,0.8631222,0.046565652
TraesNOR7D03G04461910,-0.008466482,0.060170054,0.078384995,-0.05348313,0.04235983,-0.04656613
TraesNOR5A03G02680190,-0.002651453,-0.2635069,-0.38506687,-0.40429044,-0.2956258,-0.092464924
TraesNOR5D03G03149040,-0.0047142506,0.14548993,0.1567865,0.13632536,0.36567134,-0.033120394
TraesNORUn03G04753360,-0.008999348,0.3998528,0.3998528,0.07034451,0.060204804,-0.07129598
TraesNORUn03G04746260,-0.00033307076,-0.44279432,-0.44279432,-0.32047117,-0.06900644,-0.024879932
TraesNOR6A03G03267240,-0.0010976791,0.07158744,0.08281499,-0.011515617,0.022706449,0.029262781
TraesNOR6D03G03689260,-8.761883e-05,0.37461585,0.37461585,0.66015744,0.6131793,0.14411378
TraesNOR1A03G00091890,-0.0004696846,0.34039193,0.34919047,0.83042514,0.7589847,0.14771837
TraesNOR6D03G03772630,-0.016178012,0.24115491,0.24115497,-0.034005404,0.0035202503,-0.1952349
TraesNOR4A03G02210960,-0.0001333952,-0.19979072,-0.19979084,-0.38969088,-0.153265,-0.04400742
TraesNOR5D03G03138160,-0.0006685257,-0.16414559,-0.18875504,0.0179075,-0.13314295,-0.0049573183
TraesNOR3D03G01956880,-0.62312174,-5.7432637,-5.6665397,-1.4378898,-0.4439237,-1.3302457
TraesNOR3B03G01727480,-0.22975826,-0.39512396,-0.3578589,0.29373085,0.256761,-0.12929296
TraesNOR1D03G00477450,-0.00025177002,-0.5757483,-0.61048245,-0.3973403,-0.11765373,-0.30816722
TraesNOR2D03G01131120,-0.0075137615,0.3149321,0.32499373,0.80570066,0.63069797,0.06668401
TraesNOR6D03G03769270,-0.0007995367,0.13234329,0.13234329,0.17281055,0.19222254,0.09357476
TraesNOR7D03G04442840,-0.0039197206,-0.08341932,-0.14964783,-0.18473876,-0.083108425,0.107708454
TraesNORUn03G04619660,-0.000782609,-0.0072085857,-0.005326867,0.033370137,-0.10939586,-0.05981934
TraesNOR5D03G03213580,-0.7043359,-1.7625368,-1.7287498,-2.0311275,-3.5847921,-0.6727338
TraesNOR6D03G03789850,-0.0038830042,-0.22465003,-0.25342202,-0.8311664,-0.2821623,-0.25087345
TraesNOR5D03G03206860,-0.013330817,0.112257004,0.11432129,0.26584148,0.32631302,0.09928876
TraesNOR3D03G01974410,-0.00040853024,0.040984035,0.10147345,0.0922761,0.21251136,-0.046154976
TraesNOR3D03G01959080,-0.3626418,0.26080906,0.26080906,-0.34704304,0.1592679,-0.254035
TraesNOR5B03G02986110,-7.1525574e-06,0.08775008,0.08879471,0.23098677,0.16160536,0.051481307
TraesNOR7D03G04390710,-0.00034856796,-0.026024818,0.114189625,0.3897943,0.25946784,-0.0026671886
TraesNOR6D03G03742190,-0.0017535686,-0.37669873,-0.38326073,-0.68974817,-0.35226727,-0.13059103
TraesNOR6D03G03682920,-7.891655e-05,-0.07332778,-0.07332778,-0.49052846,-0.60828984,-0.057883978
TraesNOR4B03G02294590,-0.21821737,0.19322467,0.18139952,0.3038376,0.3344251,0.15377438
